objid,ra,dec,petroMag_i,petroMag_z,petroMag_u,petroMag_g,petroMag_r,ur,p_cs,p_el
1237674648850989096,170.941924315282,-1.09982229141106,17.98168,28.17046,17.3639,29.88203,16.59649,0.7674065,0.153999999165535,0.0769999995827675
1237674648850989111,170.949053275569,-1.10118469834567,20.52905,22.82707,22.48015,24.02468,20.34702,2.133127,0.824000000953674,0
1237674648851054634,171.035979476457,-1.15775053391133,14.20217,13.93845,16.41651,15.15299,14.53326,1.883252,0.833000004291534,0.166999995708466
1237674648850989277,170.992737735308,-1.14385317445609,17.20091,17.30156,18.85368,17.83091,17.4828,1.37088,0.428999990224838,0.14300000667572
1237674648850989284,170.999260822725,-1.15258482964447,16.46658,16.15924,20.0591,17.86655,16.90353,3.155573,0.5,0.46399998664856
1237674648850989286,171.001344427353,-1.08295668812645,17.39177,17.04189,20.23329,18.68649,17.7951,2.438189,0.120999999344349,0.787999987602234
1237674648851054729,171.029407051254,-1.18760007225119,17.12996,16.86767,18.86681,17.7335,17.39814,1.46867,0.483999997377396,0.386999994516373
1237674648851054795,171.149205989257,-1.1227223254765,16.89723,16.56299,20.18176,18.51232,17.35957,2.822187,0.111000001430511,0.555999994277954
1237674648851120321,171.176745273853,-1.17910704939829,17.18281,16.86889,20.37984,19.10118,17.71423,2.665607,0.0829999968409538,0.833000004291534
1237674648851185757,171.317178859672,-1.10471784980685,18.28062,18.09949,20.42239,18.92708,18.56068,1.861708,0.349999994039536,0.449999988079071
1237674648851185774,171.340621886357,-1.15512418042854,17.35665,17.03539,20.30503,18.61893,17.76913,2.535904,0.172000005841255,0.792999982833862
1237674648851120349,171.287212330287,-1.14951459335436,17.23825,17.02335,19.57537,18.30082,17.57032,2.005058,0.372999995946884,0.528999984264374
1237674648851185795,171.387960620951,-1.11752101783113,17.11504,16.96845,19.25185,17.7425,17.36876,1.883087,0.519999980926514,0.400000005960464
1237674648851185807,171.406335124208,-1.06682006060463,17.6242,17.59333,19.00046,18.19442,17.86789,1.132576,0.211999997496605,0.485000014305115
1237674648851185824,171.460072433704,-1.20024999308365,15.66748,15.39288,18.27945,16.75475,16.0441,2.235352,0.225999996066093,0.773999989032745
1237674648851185835,171.355316060465,-1.0793903855295,17.52934,17.40535,19.13817,17.89561,17.63726,1.500914,0.211999997496605,0.666999995708466
1237674648851251429,171.469860523232,-1.203303712349,17.36855,17.03242,19.63555,18.3545,17.75476,1.880789,0.814999997615814,0.185000002384186
1237674648851316785,171.630871472173,-1.13542392717417,16.96106,16.64202,19.97676,18.14038,17.37319,2.603573,0.125,0.531000018119812
1237674648851251372,171.493291693369,-1.14836955447852,17.37254,17.08095,20.44117,18.61102,17.74179,2.699375,0.017000000923872,0.75900000333786
1237674648851251415,171.581877699816,-1.08543787895,17.91338,17.44606,20.43169,18.90999,18.07476,2.356932,0.164000004529953,0.617999970912933
1237674648851251418,171.592175087449,-1.05444441493162,15.87175,15.63709,18.67895,17.00361,16.24425,2.434702,1,0
1237674648851251397,171.554238766978,-1.11554433332993,17.35226,17.01301,20.53929,18.70105,17.81246,2.72683,0.279000014066696,0.456000000238419
1237674648851251464,171.601522540871,-1.08592403993498,17.18284,16.85261,19.82637,18.50809,17.58189,2.244482,0.218999996781349,0.781000018119812
1237674648851316954,171.756807602202,-1.08790516973692,17.14869,16.78733,20.74244,18.72984,17.60923,3.133211,0.0649999976158142,0.644999980926514
1237674648851316994,171.712331720956,-1.14082149494467,18.65943,18.43196,22.31099,20.71668,19.18804,3.122952,0.090999998152256,0.708999991416931
1237674648851382540,171.828552317156,-1.05991644667566,17.71361,17.94247,19.7448,18.10782,17.51805,2.226753,0.23199999332428,0.46399998664856
1237674648851447906,171.989722774842,-1.21118291505031,13.96845,13.73454,16.6057,15.18389,14.38716,2.218542,0.395999997854233,0.50900000333786
1237674648851447986,172.002951994592,-1.12681992475954,17.75688,17.85531,19.07787,18.22297,18.22566,0.852211,0.0370000004768372,0.592999994754791
1237674648851447990,172.012220435528,-1.20083559699402,16.88882,16.70495,18.68483,17.70513,17.21083,1.473997,0.400000005960464,0.479999989271164
1237674648851513421,172.076268646975,-1.10639733785363,16.14776,15.86129,19.12208,17.39866,16.53846,2.583624,0.125,0.833000004291534
1237674648851513541,172.064928599724,-1.10491623155596,16.77627,16.50864,19.62485,17.9327,17.14123,2.483624,0.514999985694885,0.455000013113022
1237674648851513498,172.15072557951,-1.21469453144851,16.22468,15.88086,19.66656,17.67773,16.66077,3.005793,0.028999999165535,0.926999986171722
1237674648851513468,172.131040063819,-1.21503748120213,17.19713,16.94317,19.98026,18.54085,17.61473,2.365528,0.133000001311302,0.732999980449677
1237674648851644428,172.384977671959,-1.15152173914123,16.54713,16.27345,19.06864,17.48478,16.9032,2.165443,0.5,0.474000006914139
1237674648851579062,172.348235360322,-1.21733409860291,17.11885,16.80219,19.70914,18.47116,17.4896,2.219534,0.0359999984502792,0.820999979972839
1237674648851709958,172.517403713018,-1.04950451763173,15.67331,15.32375,20.31818,17.19736,16.12892,4.189257,0,0.666999995708466
1237674648851644564,172.456712730166,-1.07873244410972,17.32936,17.1664,19.10539,18.03234,17.62625,1.479143,0.202999994158745,0.610000014305115
1237674648851644583,172.480844771052,-1.05934469463274,16.75359,16.5146,20.36817,18.17126,17.18169,3.186481,0.0560000017285347,0.861000001430511
1237674648851644584,172.476066352535,-1.059316062767,17.16201,17.20474,19.17509,17.66276,17.22954,1.945549,0.52700001001358,0.344999998807907
1237674648851710018,172.59268975918,-1.05894059725455,15.80175,15.57204,17.96657,16.67103,16.12517,1.841396,0,0.181999996304512
1237674648851710134,172.578551150214,-1.1236821023688,17.30589,16.83797,20.95005,18.84296,17.75444,3.195612,0.111000001430511,0.722000002861023
1237674648851710162,172.607055663456,-1.1193050804256,16.62691,16.4107,18.85054,17.61219,16.97308,1.877464,0.194000005722046,0.638999998569489
1237674648851710171,172.622719824698,-1.09766171472396,16.52991,16.39134,18.37453,17.26008,16.8072,1.567322,0.226999998092651,0.460999995470047
1237674648851710172,172.62420598862,-1.0950341169346,17.54075,17.20424,20.66745,18.78576,17.97549,2.691957,0.241999998688698,0.42399999499321
1237674648851710185,172.649838051098,-1.16022885989243,17.19691,16.94272,19.52643,18.36623,17.62181,1.904613,0.0480000004172325,0.810000002384186
1237674648851710547,172.584114342211,-1.11595806424671,19.50514,19.24308,22.0089,21.83175,20.04826,1.960646,0.0780000016093254,0.561999976634979
1237674648851775587,172.713640988832,-1.10771482125278,15.99934,15.73051,18.40927,16.93775,16.34478,2.064489,0.839999973773956,0.159999996423721
1237674648851775522,172.74129206139,-1.14752992814967,14.93017,14.63145,17.78075,16.02244,15.26312,2.517631,0.0829999968409538,0.888999998569489
1237674648851841078,172.815553913932,-1.20633910347921,16.65372,16.43655,19.26867,17.85393,17.04192,2.226751,0.282000005245209,0.640999972820282
1237674648851841172,172.83701929826,-1.15152115843673,18.08426,17.68609,24.5519,20.13667,18.56581,5.986082,0,0.828999996185303
1237674648851841107,172.876913463412,-1.16867091395729,17.33932,17.15827,19.42192,18.17394,17.64283,1.779095,0.370000004768372,0.444000005722046
1237674648851841110,172.890156416099,-1.2123503789043,18.56062,18.41752,20.01785,19.20477,18.814,1.203842,0.263999998569489,0.453000009059906
1237674648851841190,172.913664922435,-1.12169731862844,17.51635,17.29654,27.89898,19.96712,18.02926,9.869711,0.0260000005364418,0.578999996185303
1237674648852037719,173.407022484718,-1.10041348255053,16.48795,16.44912,27.54248,18.48446,16.77523,10.76725,0.0179999992251396,0.497000008821487
1237674648852168871,173.695263413199,-1.0967091705476,17.46917,17.26823,19.89136,18.26509,17.69839,2.192965,0.200000002980232,0.699999988079071
1237674648852168882,173.704830723797,-1.06326299151437,17.32999,17.19029,19.6599,18.10499,17.62849,2.031412,0.225999996066093,0.660000026226044
1237674648852234325,173.751208653388,-1.13388742986782,16.5976,16.40964,18.85126,17.59377,16.9689,1.882364,0.236000001430511,0.763999998569489
1237674648852299963,173.93849813195,-1.19320553518177,18.30677,18.04761,22.42601,20.7743,18.78287,3.643141,0.0860000029206276,0.742999970912933
1237674648852365446,174.035665268189,-1.06910898412741,16.80912,16.63519,19.88723,18.08083,17.26207,2.625164,0.730000019073486,0.188999995589256
1237671142554009778,174.536229938029,-1.05115848455609,16.25223,16.00494,19.03003,17.39214,16.65148,2.378546,0.367000013589859,0.633000016212463
1237671142554009802,174.599049816499,-1.05228236421575,17.08863,16.76161,20.47226,18.69311,17.56132,2.910936,0.345999985933304,0.537999987602234
1237674648852562566,174.580498291478,-1.15060528378219,18.06772,17.69241,28.5252,19.99673,18.71277,9.812433,0.0390000008046627,0.745000004768372
1237674648852693002,174.765876551015,-1.18825899207802,16.91824,18.28432,20.33489,19.79924,17.9151,2.419792,0.090999998152256,0.393999993801117
1237674648852627562,174.638629177585,-1.18448574283468,13.32252,13.12306,15.46733,14.31098,13.67,1.79733,0.943000018596649,0.0570000000298023
1237674648852693154,174.758242955479,-1.1084880892053,16.99184,16.68052,21.17342,18.34383,17.43549,3.737938,0.404000014066696,0.532000005245209
1237674648852627702,174.721408924861,-1.07976040205677,17.8662,17.65159,24.59624,20.43882,18.54045,6.055796,0.0320000015199184,0.741999983787537
1237674648852693182,174.815707535108,-1.11484899116618,17.06811,16.77126,20.1207,18.45509,17.48098,2.639721,0.35699999332428,0.321000009775162
1237671142017138979,174.825950337443,-1.13481582779344,14.74768,14.46446,17.99409,16.13206,15.18059,2.8135,0.14300000667572,0.85699999332428
1237671142017139017,174.872187580955,-1.13986757323162,16.88776,16.75376,18.97635,17.69679,17.2404,1.735949,0.270999997854233,0.524999976158142
1237671142017204445,174.883675163282,-1.10122396499817,15.56143,15.24194,18.23321,16.82097,15.97339,2.25982,0.550000011920929,0.449999988079071
1237671142017204474,174.904808345924,-1.08720322335936,16.73733,16.41233,20.01114,18.08845,17.16194,2.849205,0.10700000077486,0.71399998664856
1237671142017139024,174.906318407298,-1.14882641731303,17.034,16.87989,27.87127,17.94325,17.37789,10.49337,0.166999995708466,0.575999975204468
1237671142017204470,174.90782790111,-1.09694199594763,16.75418,16.59951,18.65403,17.56067,17.06808,1.585951,0.321000009775162,0.570999979972839
1237671142017204493,174.923356880585,-1.08332156748048,16.18751,15.89902,19.16117,17.44772,16.59879,2.56238,0.0260000005364418,0.842000007629395
1237671142017204439,174.934447501137,-1.13771971780899,17.07873,16.78503,18.99872,17.89262,17.37931,1.619411,0.85699999332428,0.10700000077486
1237671142017204513,174.947934827743,-1.0788015308936,16.86831,16.66069,32.57085,17.88602,17.27597,15.29488,0.136999994516373,0.753000020980835
1237671142017204484,174.951669628011,-1.10880383298775,16.30931,16.05854,19.54623,17.71676,16.7556,2.79063,0.0520000010728836,0.897000014781952
1237671142017204456,174.968947079741,-1.13704577076347,17.37719,17.0791,19.85798,18.48753,17.7319,2.126076,0.118000000715256,0.675999999046326
1237674648852824119,175.061676554169,-1.20530843249754,17.28061,17.14503,19.35512,18.09513,17.60415,1.750969,0.25,0.593999981880188
1237671142017204596,175.071369439467,-1.0834519033813,17.16189,16.89924,20.34581,18.41365,17.55965,2.786165,0.100000001490116,0.800000011920929
1237671142017139077,174.995622553171,-1.21406564984347,17.72087,17.37551,22.67908,20.12629,18.3269,4.352184,0.120999999344349,0.75900000333786
1237671142017204666,175.018116324648,-1.09095974890833,18.27044,17.84058,20.85688,20.04756,18.68868,2.168198,0.135000005364418,0.730000019073486
1237674648852758910,175.047979028465,-1.23057995987132,16.85483,16.60756,19.08981,18.07917,17.33909,1.750719,0.861999988555908,0.137999996542931
1237671141480333575,175.309862138894,-1.18504321427829,17.29861,16.94896,19.99752,18.41862,17.68787,2.309656,0.23199999332428,0.679000020027161
1237671141480399010,175.392304381664,-1.20264277432465,15.9038,15.56356,19.14813,17.23225,16.31468,2.833454,0.0450000017881393,0.681999981403351
1237671141480399011,175.393298802908,-1.20008613615178,17.03342,16.71513,20.32959,18.36406,17.45663,2.872955,0.0149999996647239,0.716000020503998
1237671141480399084,175.413266029989,-1.15865251257488,16.38384,16.02598,19.64022,17.9009,16.87899,2.76123,0.704999983310699,0.294999986886978
1237671141480399028,175.428807462374,-1.20672680298726,15.19132,14.89325,18.39194,16.56616,15.63204,2.759905,0,1
1237671141480399029,175.420707682999,-1.20902095584632,16.43907,16.14227,19.64947,17.82288,16.87829,2.771179,0.025000000372529,0.524999976158142
1237671141480399030,175.421657486387,-1.2075919820849,16.90192,16.60652,20.28085,18.23812,17.30632,2.974524,0.0729999989271164,0.435999989509583
1237671141480399069,175.463883051792,-1.21287715527334,16.65434,16.50992,18.63918,17.69786,17.09843,1.540749,0.836000025272369,0.148000001907349
1237674648852955402,175.494018092499,-1.22624844875799,15.75126,15.47382,18.22497,16.99157,16.22219,2.002789,0.904999971389771,0.0949999988079071
1237674648853020878,175.588963327109,-1.21700044377466,17.05558,16.78498,19.76436,18.11735,17.44123,2.32313,0.211999997496605,0.712000012397766
1237674648853020896,175.645178263321,-1.11054492112593,17.23314,16.95085,20.04045,18.01201,17.44504,2.595417,0.787999987602234,0.151999995112419
1237674648853086416,175.676667665374,-1.18211920541109,17.74614,17.57682,21.0802,19.73986,18.33431,2.74589,0.0710000023245811,0.5
1237674648853021237,175.625386760549,-1.09687739287576,18.52745,18.09991,21.95974,20.99281,19.33684,2.622906,0.0230000000447035,0.773000001907349
1237671140943593631,175.727660504461,-1.23257926811778,16.66227,16.34119,19.70106,18.02022,17.0761,2.624958,0.101999998092651,0.830999970436096
1237674648853086343,175.730638699871,-1.1964700401146,17.37284,17.02821,20.86276,19.03299,17.84244,3.020327,0.0529999993741512,0.859000027179718
1237674648853086447,175.73230165114,-1.16389119220743,17.2268,16.88623,20.02143,18.90641,17.7042,2.317232,0.144999995827675,0.818000018596649
1237674648853086789,175.738957619196,-1.16330139514913,17.42336,17.28127,19.08815,18.17543,17.69431,1.393835,0.418999999761581,0.418999999761581
1237671140943593791,175.764966508222,-1.21012235290324,18.46081,18.18977,22.3848,21.10449,19.15428,3.230515,0.061999998986721,0.688000023365021
1237674648853217458,176.074713060153,-1.21472024429039,17.95539,17.85772,19.37677,18.48587,18.17178,1.204983,0.211999997496605,0.545000016689301
1237674648853282900,176.105468964321,-1.1347248465815,16.17854,15.88465,19.02433,17.37504,16.5616,2.46273,0.620999991893768,0.379000008106232
1237674648853282917,176.131205016035,-1.18089887456299,16.85186,16.66315,19.45498,18.01066,17.28061,2.174374,0.218999996781349,0.75
1237674648853217512,176.031860731525,-1.14206956110169,17.37496,17.06536,24.61884,19.95053,18.04769,6.571144,0.0199999995529652,0.740000009536743
1237674648853283237,176.104000218385,-1.23019561188842,18.26774,17.99972,20.51143,20.36506,18.85497,1.656467,0.0829999968409538,0.722000002861023
1237674648853283153,176.105048616723,-1.06339745209662,18.67761,18.22719,24.7706,21.70695,19.46693,5.303669,0,0.363999992609024
1237674648853217506,176.008244442128,-1.14303645082077,19.09292,18.87062,22.16863,21.19089,19.59162,2.577019,0,0.39300000667572
1237674648853217859,176.019391747686,-1.14481164300124,18.56799,18.05032,21.09227,20.35631,19.10364,1.98863,0.0670000016689301,0.732999980449677
1237674648853282929,176.141869962664,-1.1390519222099,15.26036,14.89901,18.48032,16.65929,15.69243,2.787896,0.0280000008642673,0.933000028133392
1237674648853282961,176.156269305209,-1.14417677302675,16.40625,16.10188,19.75949,17.77087,16.82849,2.931004,0.280000001192093,0.639999985694885
1237674648853282965,176.160290450067,-1.06720176714159,17.13519,17.14522,18.73655,17.73741,17.38412,1.35243,0.442999988794327,0.39300000667572
1237674648853282976,176.170413622732,-1.1541012312371,17.0403,16.76636,20.26734,18.47977,17.506,2.761339,0.522000014781952,0.34799998998642
1237674648853283012,176.201628139789,-1.15848584472748,15.81738,15.55262,18.39644,17.11722,16.24015,2.156284,0.0320000015199184,0.935999989509583
1237671140406853769,176.258322382529,-1.17832936561813,17.31173,17.15698,19.2735,18.24822,17.65747,1.616022,0.467000007629395,0.367000013589859
1237674648853283435,176.186260195938,-1.09230702437473,18.7067,18.33224,23.82804,20.99847,19.44052,4.387524,0.0430000014603138,0.65200001001358
1237671140406853893,176.331310854446,-1.08593114267327,17.23242,16.9045,20.18424,18.58961,17.67467,2.509571,0.118000000715256,0.764999985694885
1237671140406853835,176.408728707046,-1.19101927362662,17.03456,16.85769,18.88625,17.82408,17.34369,1.542559,0.527999997138977,0.416999995708466
1237671140406919345,176.428583877611,-1.06835267115171,17.14481,16.70099,20.10702,18.61433,17.64264,2.464382,0.528999984264374,0.441000014543533
1237674648853413964,176.539607795561,-1.08113729958815,16.35954,16.05912,20.15563,17.87716,16.84389,3.311739,0.128999993205071,0.773999989032745
